2.7000,0.0000
2.7000,0.0506
2.7000,0.1012
2.7000,0.1519
2.7000,0.2025
2.7000,0.2531
2.7000,0.3037
2.7000,0.3543
2.7000,0.4050
2.7000,0.4556
2.7000,0.5062
2.7000,0.5568
2.7000,0.6075
2.7000,0.6581
2.7000,0.7087
2.7000,0.7593
2.7000,0.8099
2.7000,0.8606
2.7000,0.9112
2.7000,0.9618
2.7000,1.0124
2.7000,1.0630
2.7000,1.1137
2.7000,1.1643
2.7000,1.2149
2.7000,1.2655
2.7000,1.3161
2.7000,1.3668
2.7000,1.4174
2.7000,1.4680
2.7000,1.5186
2.7000,1.5693
2.7000,1.6199
2.7000,1.6705
2.7000,1.7211
2.7000,1.7717
2.7000,1.8224
2.7000,1.8730
2.7000,1.9236
2.7000,1.9742
2.7000,2.0248
2.7000,2.0755
2.7000,2.1261
2.7000,2.1767
2.7000,2.2273
2.7000,2.2780
2.7000,2.3286
2.7000,2.3792
2.7000,2.4298
2.7000,2.4804
2.7000,2.5311
2.7000,2.5817
2.7000,2.6323
2.7000,2.6829
2.7000,2.7335
2.7000,2.7842
2.7000,2.8348
2.7000,2.8854
2.7000,2.9360
2.7000,2.9866
2.7000,3.0373
2.7000,3.0879
2.7000,3.1385
2.7000,3.1891
2.7000,3.2398
2.7000,3.2904
2.7000,3.3410
2.7000,3.3916
2.7000,3.4422
2.7000,3.4929
2.6495,3.4929
2.5990,3.4929
2.5485,3.4929
2.4980,3.4929
2.4475,3.4929
2.3970,3.4929
2.3465,3.4929
2.2960,3.4929
2.2455,3.4929
2.1950,3.4929
2.1445,3.4929
2.0941,3.4929
2.0436,3.4929
1.9931,3.4929
1.9426,3.4929
1.8921,3.4929
1.8416,3.4929
1.7911,3.4929
1.7406,3.4929
1.6901,3.4929
1.6396,3.4929
1.5891,3.4929
1.5386,3.4929
1.4881,3.4929
1.4376,3.4929
1.3871,3.4929
1.3366,3.4929
1.2861,3.4929
1.2356,3.4929
1.1851,3.4929
1.1346,3.4929
1.0841,3.4929
1.0336,3.4929
0.9831,3.4929
0.9326,3.4929
0.8822,3.4929
0.8317,3.4929
0.7812,3.4929
0.7307,3.4929
0.6802,3.4929
0.6297,3.4929
0.5792,3.4929
0.5287,3.4929
0.4782,3.4929
0.4277,3.4929
0.3772,3.4929
0.3267,3.4929
0.2762,3.4929
0.2257,3.4929
0.1752,3.4929
0.1247,3.4929
0.0742,3.4929
0.0237,3.4929
-0.0268,3.4929
-0.0773,3.4929
-0.0736,3.4424
-0.0693,3.3920
-0.0644,3.3417
-0.0588,3.2915
-0.0525,3.2413
-0.0456,3.1912
-0.0381,3.1412
-0.0299,3.0913
-0.0211,3.0415
-0.0116,2.9918
-0.0015,2.9423
0.0092,2.8928
0.0206,2.8436
0.0326,2.7945
0.0453,2.7455
0.0586,2.6967
0.0725,2.6481
0.0870,2.5997
0.1022,2.5514
0.1180,2.5034
0.1344,2.4555
0.1514,2.4079
0.1690,2.3605
0.1873,2.3134
0.2061,2.2664
0.2256,2.2198
0.2456,2.1734
0.2663,2.1272
0.2875,2.0813
0.3094,2.0357
0.3318,1.9904
0.3548,1.9453
0.3784,1.9006
0.4025,1.8562
0.4273,1.8121
0.4526,1.7683
0.4784,1.7249
0.5049,1.6817
0.5318,1.6390
0.5594,1.5966
0.5874,1.5545
0.6161,1.5128
0.6452,1.4715
0.6749,1.4305
0.7051,1.3900
0.7358,1.3498
0.7671,1.3101
0.7988,1.2707
0.8311,1.2318
0.8638,1.1932
0.8971,1.1552
0.9308,1.1175
0.9651,1.0803
0.9998,1.0435
1.0350,1.0072
1.0706,0.9713
1.1067,0.9359
1.1433,0.9009
1.1803,0.8665
1.2177,0.8325
1.2556,0.7990
1.2939,0.7660
1.3326,0.7335
1.3718,0.7015
1.4113,0.6700
1.4513,0.6390
1.4917,0.6085
1.5324,0.5786
1.5736,0.5492
1.6151,0.5203
1.6569,0.4920
1.6992,0.4642
1.7418,0.4369
1.7847,0.4102
1.8280,0.3841
1.8716,0.3585
1.9156,0.3335
1.9599,0.3090
2.0044,0.2852
2.0493,0.2619
2.0945,0.2392
2.1400,0.2170
2.1857,0.1955
2.1857,0.2461
2.1857,0.2967
2.1857,0.3473
2.1857,0.3979
2.1857,0.4485
2.1857,0.4991
2.1857,0.5497
2.1857,0.6003
2.1857,0.6509
2.1857,0.7015
2.1857,0.7521
2.1857,0.8027
2.1857,0.8533
2.1857,0.9039
2.1857,0.9545
2.1857,1.0051
2.1857,1.0557
2.1857,1.1063
2.1857,1.1569
2.1857,1.2075
2.1857,1.2581
2.1857,1.3087
2.1857,1.3593
2.1857,1.4099
2.1857,1.4605
2.1857,1.5111
2.1857,1.5617
2.1857,1.6123
2.1857,1.6629
